Cluster,RA,Dec,z,m200,MergedCats,TargetLists,Jan25upload
A0085,10.458,-09.302,0.056,21.3,True,True,True
A0119,14.067,-01.255,0.044,7.5,True,True,True
A0133,15.674,-21.882,0.057,9.7,True,True,True
A0147,17.048,+02.176,0.044,2.1,True,True,True
A0168,18.760,+00.315,0.044,3.3,True,True,True
A0194,21.460,-01.402,0.017,1.1,True,True,True
A0496,68.410,-13.259,0.0337,18.3,True,True,True
A0500,69.716,-22.100,0.067,4.3,True,True,True
A0548,87.121,-25.483,0.041,2.94,True,True,True
A0754,137.133,-09.616,0.054,10.7,True,True,True
A0780,139.525,-12.083,0.057,28.4,True,True,True
A0957,153.408,-00.916,0.045,3.3,True,True,True
A0970,154.391,-10.666,0.059,6.1,True,True,True
A1069,159.929,-08.683,0.062,3.7,True,True,True
A1631,193.216,-15.400,0.047,3.4,True,True,True
A1644,194.295,-17.400,0.048,8.7,True,True,True
A2399,329.342,-07.811,0.058,3.6,True,True,True
A2717,00.804,-35.933,0.050,3.8,True,True,True
A3223,62.067,-30.894,0.060,4.2,True,True,True
A3266,67.804,-61.450,0.054,14.1,True,True,True
A3376,90.170,-40.033,0.046,4.8,True,True,True
A3395,96.900,-54.433,0.050,4.9,True,True,True
A3651,298.068,-55.062,0.060,4.4,True,True,True
A3667,303.112,-56.816,0.053,10.3,True,True,True
A3809,326.745,-43.883,0.063,4.8,True,True,True
A4059,359.250,-34.759,0.048,10.9,True,True,True
Hydra,159.174,-27.524,0.012,2.52,True,True,True
Fornax,054.616,-35.448,0.005,0.67,True,True,True
Antlia,157.514,-35.323,0.012,1.0,False,False,False
A0151,017.212,-15.407,0.053,4.1,True,True,False
A1520,184.832,-13.260,0.068,3.2,True,True,False
A2415,331.414,-05.594,0.058,5.6,True,True,False
A2457,338.920,+01.506,0.058,5.3,True,True,False
A2734,02.836,-28.855,0.061,6.1,True,True,False
A2870,16.933,-46.900,0.023,4.2,True,True,False
A2877,17.501,-45.923,0.024,4.1,True,True,False
A3301,75.194,-38.678,0.054,3.4,True,True,False
A3341,81.392,-31.595,0.0374,3.3,True,True,False
A3389,95.455,-64.981,0.026,1.9,False,False,False
A3526,192.199,-41.308,0.011,3.2,False,False,False
A3565,204.019,-34.225,0.013,2.1,False,False,False
A3571,206.868,-32.849,0.039,10.1,True,True,False
A3574,207.278,-30.326,0.016,3.1,False,False,False
A3581,211.867,-27.015,0.023,2.4,False,False,False
A4038,356.929,-28.142,0.028,8.8,True,True,False
A3490,176.333,-34.333,0.069,5.1,True,True,False
A3497,180.016,-31.383,0.068,4.4,True,True,False
A3716,312.875,-52.716,0.045,4.0,True,True,False
AS560,090.201,-58.587,0.037,1.4,True,True,False
IIZw108,318.483,+02.565,0.048,4.8,True,True,False
MKW4,181.115,+01.895,0.020,1.6,True,True,False
MKW8,220.176,+03.472,0.027,1.7,True,Ture,False
AM2002,042.390,-31.190,0.022,0.0,True,True,False
MZ00407,329.633,-28.617,0.023,0.0,True,True,False
