Cluster,RA_J2000,Dec_J2000,z,m200,MergedCat,TargetList,Jan25upload
Abell0209,022.973,-13.613,0.209,11.42,True,True,True  
Abell0370,039.960,-01.585,0.373,10.31,True,True,True   
Abell1300,172.977,-19.928,0.306,12.10,True,True,True   
Abell1689,197.875,-01.335,0.1832,11.83,True,True,True  
Abell1835,210.218,+02.878,0.252,13.15,True,True,True  
Abell2163,243.955,-06.152,0.206,21.74,True,True,True  
Abell2744,003.578,-30.389,0.308,13.27,True,True,True  
Bullet,104.629,-55.947,0.2965,17.67,True,True,True  
MACS J0329.7-0211,052.423,-02.196,0.450,0.0,True,True,True  
MACS J0416.1-2403,064.041,-24.066,0.397,10.5,True,True,True  
MACS J0553.4-3342,088.363,-33.715,0.430,11.83,True,True,True  
MACS J1206.2-0847,181.551,-08.800,0.441,15.08,True,True,True  
MACS J2140.2-2339,325.062,-23.661,0.313,5.28,True,True,True  
PSZ2 G205.93-39.64,064.406,-11.896,0.443,16.53,True,True,True  
PSZ2 G241.11-28.68,085.738,-35.984,0.420,9.93,True,True,True
PSZ2 G271.18-30.95,087.326,-62.083,0.3755,9.55,True,True,True  
PSZ2 G277.76-51.74,043.596,-58.964,0.438,13.07,True,True,True
PSZ2 G286.98+32.90,177.705,-28.077,0.390,19.82,True,True,True
PSZ2 G262.73-40.92,069.579,-54.318,0.421,10.65,True,True,True
RXC J1347.5-1144,206.877,-11.753,0.4516,11.03,True,True,True
RXC J1514.9-1523,228.742,-15.386,0.2226,11.95,True,True,True
RXC J2031.8-4037,307.965,-40.621,0.341,8.54,True,True,True
RXC J2211.7-0350,332.931,-03.829,0.397,14.17,True,True,True
RXC J2248.7-4431,342.181,-44.529,0.3475,15.32,True,True,True
SMACS J0723.3-7327,110.839,-73.439,0.390,11.32,True,True,True
Abell3186,058.061,-74.008,0.127,8.69,True,True,False
Abell3378,091.469,-35.309,0.139,7.54,True,True,False
Abell1437,180.109,+03.348,0.134,7.47,True,True,False
Abell1650,194.675,-01.759,0.0845,6.0,True,True,False
Abell1651,194.867,-04.201,0.0845,6.84,True,True,False
Abell3695,308.706,-35.825,0.089,6.89,True,True,False
Abell3822,328.528,-57.863,0.076,5.65,True,True,False
Abell3827,330.469,-59.939,0.098,7.78,True,True,False
Abell2420,332.569,-12.177,0.085,5.92,True,True,False
Abell3911,341.571,-52.722,0.097,5.77,True,True,False
Abell3921,342.456,-64.415,0.094,5.43,True,True,False
Abell2811,010.536,-28.536,0.108,4.92,True,True,False
Abell0520,073.527,+02.962,0.203,10.52,True,True,False
Abell0521,073.538,-10.239,0.2475,9.79,True,True,False
Abell3404,101.372,-54.219,0.1644,10.74,True,True,False
AbellS780,224.872,-18.187,0.236,10.52,True,True,False
Abell2813,010.866,-20.617,0.292,10.96,True,True,False
Abell3048,041.615,-20.535,0.310,10.30,True,True,False
Abell3444,155.962,-27.259,0.2542,9.94,True,True,False
Abell3888,338.608,-37.741,0.151,9.71,False,False,False
PSZ2 G008.31-64.74,344.678,-34.788,0.312,10.45,True,True,False  
PSZ2 G208.60-26.00,077.699,-08.029,0.219,10.45,True,True,False   
PSZ2 G259.98-63.43,038.078,-44.345,0.284,10.17,False,False,False   
PSZ2 G262.27-35.38,079.153,-54.520,0.295,11.82,True,True,False  
PSZ2 G348.90-67.37,351.304,-41.208,0.358,9.70,True,True,False
RXC J1314.4-2515,198.617,-25.261,0.244,9.06,True,True,False
