zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,WINGS,Abell,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
1,93170802,93170802,40.65219,-0.02646,0.003,172.1,0.59,True,False,0.82,205.65,48,0.05,STRIPE82_0059,,,,,,,
1,93163401,NGC4636,-169.25033,2.81134,0.004,297.83,0.58,True,False,0.82,151.4,180,0.36,SPLUS-n03n30,NGC4636,,ABELL 1599,,,NGC4636,
1,93254708,Abell S1101,-11.52599,-42.69971,0.004,348.42,0.77,True,False,0.9,155.24,298,0.57,SPLUS-s33s61,Abell S1101,,ABELL S1101,PSZ2 G348.46-64.83,RXCJ2313.9-4244,S1101,
1,93254501,93254501,-27.66222,-47.17533,0.005,349.57,1.65,True,False,1.16,176.9,363,0.53,SPLUS-s36s49,,,,,,,
1,93203508,NGC5044,-161.1574,-16.39033,0.007,311.22,1.28,True,False,1.06,120.18,178,0.56,SPLUS-n13s35,NGC5044,,,,,NGC5044,
2,93183401,93183401,-170.06662,-5.35906,0.01,297.52,1.84,True,False,1.2,93.07,102,0.54,SPLUS-n05s30,,,,,,,
2,93242801,A3526,-167.77749,-41.31311,0.011,302.42,3.25,True,False,1.45,105.21,0,0.0,,A3526,,Centaurus Cluster,PSZ2 G302.41+21.60,,A3526,MCXC J1248.7-4118
2,93222625,Hydra,159.19658,-27.51791,0.014,269.61,2.52,True,False,1.33,74.83,65,0.53,HYDRA_0045,Hydra,,Hydra Cluster,,,A1060,
2,93223401,ABELL 3574,-152.72198,-30.32663,0.016,317.44,3.16,True,False,1.43,70.72,8,0.07,A3560_in,,,ABELL 3574,,,,
2,79221,A3581,-148.13255,-27.01646,0.022,323.14,7.08,True,False,1.87,67.92,24,0.24,SPLUS-n20s33,A3581,,ABELL 3581,,,A3581,
2,80518,A4038,-3.06306,-28.14,0.029,25.14,8.8,True,False,2.0,56.21,39,0.57,A4038_needs,A4038,,ABELL 4038,PSZ2 G025.13-75.88,A4038,A4038,MCXC J2347.7-2808
3,93191301,A0496,68.39858,-13.23595,0.033,209.55,6.66,True,False,1.82,45.03,1,0.02,A0496_2022B,A0496,,ABELL 0496,PSZ2 G209.54-36.50,A496,A0496,
3,65085,A0496,68.40598,-13.24777,0.034,209.57,18.37,True,False,2.56,61.33,1,0.01,A0496_2022B,A0496,,ABELL 0496,PSZ2 G209.54-36.50,A496,A0496,
3,70798,A1644,-165.67561,-17.3808,0.046,304.93,8.09,True,False,1.94,34.28,15,0.59,A1644_in,A1644,A1644,ABELL 1644,PSZ2 G304.91+45.43,A1644,A1644,
3,84070,A4059,-0.74826,-34.75619,0.049,356.39,11.0,True,False,2.14,35.98,18,0.64,A4059_LoVoCCS,A4059,A4059,ABELL 4059,PSZ2 G356.25-76.07,A4059,A4059,
4,93273325,A3667,-56.89264,-56.79502,0.055,340.91,10.32,True,False,2.1,31.43,1,0.05,A3667_2021B,A3667,A3667,ABELL 3667,PSZ2 G340.88-33.36,A3667,A3667,MCXC J2012.5-5649
4,64209,A0085,10.45228,-9.31016,0.056,115.21,21.36,True,False,2.67,39.69,1,0.03,A0085_2021B,A0085,A0085,ABELL 0085,PSZ2 G115.25-72.07,A85,A0085,MCXC J0041.8-0918
4,93192510,A0754,137.23423,-9.6581,0.056,239.29,10.68,True,False,2.12,31.46,1,0.05,A0754_2021B,A0754,A0754,ABELL 0754,PSZ2 G239.29+24.75,A754,A0754,
4,72640,A0133,15.67584,-21.87871,0.057,149.55,9.7,True,False,2.05,30.16,12,0.6,SPLUS-s17s12,A0133,A0133,ABELL 0133,PSZ2 G149.63-84.19,A133,A0133,MCXC J0102.7-2152
4,65975,A0780,139.52552,-12.09345,0.066,242.93,28.38,True,False,2.92,37.21,1,0.03,A0780_2021B,A0780,A0780,ABELL 0780,,A780,HYDRA-A,
