name,z,ra,dec,Lambda,S-PLUS,Catalogue,CODEXID,dist
NGC1453,0.013,56.613,-3.968,,NO,Xmass,93181005,1.3952823464175819
J0413.9,0.05,63.487,-38.1,,YES,,,5.223492963798909
A0536,0.04,76.91,-9.257,,NO,,,2.5366769280349453
A3528N,0.053,193.5,-28.85,93.5,NO,Codex3,93223201,7.035847889317476
A3528S,0.053,193.645,-29.383,93.5,NO,Codex3,93223201,7.545660541394264
A3530,0.054,193.9,-30.333,93.0,NO,Codex3,93223204,7.574225577409841
A3532,0.056,194.337,-30.35,93.0,NO,Codex3,93223204,7.4577064263877775
A3556,0.049,201.029,-31.666,40.5,NO,Codex3,93233123,5.5206407931267085
A1736,0.046,201.795,-27.2,66.2,NO,Codex3,93223310,2.3442721198502845
NGC5153,0.014,201.976,-29.618,,NO,Xmass,93223302,4.646846474735496
A3558,0.048,201.987,-31.483,49.7,NO,Codex3,93233116,4.684202251464747
A3560,0.047,202.97,-33.233,55.1,NO,Codex3,93233140,4.674443149499186
A3562,0.05,203.395,-31.666,44.9,NO,Codex3,93233210,3.5875930741965987
A3565,0.013,204.019,-34.225,,NO,Xmass,93233201,4.25006676728447
M83,0.002,204.254,-29.865,,NO,,,2.6566698107938898
A3571,0.039,206.868,-32.849,,NO,Xmass,93233220,2.546428534710779
A3716,0.045,312.875,-52.716,,NO,,,2.1981513587286683
NGC7162,0.007,329.913,-43.306,,YES,,,2.374992002612083
NGC7232,0.006,333.908,-45.85,,YES,,,1.709961138610287
,,,,,YES,,,3.8741156335280205
,,,,,YES,,,3.8741156335280205
,,,,,YES,,,3.8741156335280205
,,,,,YES,,,3.8741156335280205
,,,,,YES,,,3.8741156335280205
,,,,,YES,,,3.8741156335280205
,,,,,YES,,,3.8741156335280205
,,,,,YES,,,3.8741156335280205
